Condition,CFU,logCFU,Date,Rep
AU37,13620,4.134,2019-04-03,4
AU37,14400,4.158,2019-04-03,4
AU37,15600,4.193,2019-04-03,4
AU37,15620,4.194,2019-04-03,4
AU37,15680,4.195,2019-04-03,4
AU37,16400,4.215,2019-04-03,4
AU37,34400,4.537,2019-04-03,4
AU37,41200,4.615,2019-04-03,4
AU37,72000,4.857,2019-04-03,4
AU37,82900,4.919,2019-04-03,4
AU37,95000,4.978,2019-04-03,4
AU37,7780,3.891,2018-10-31,5
AU37,9420,3.974,2018-10-31,5
AU37,12020,4.080,2018-10-31,5
AU37,12600,4.100,2018-10-31,5
AU37,13900,4.143,2018-10-31,5
AU37,23960,4.379,2018-10-31,5
AU37,24560,4.390,2018-10-31,5
AU37,25220,4.402,2018-10-31,5
AU37,25440,4.406,2018-10-31,5
AU37,26080,4.416,2018-10-31,5
AU37,43480,4.638,2018-10-31,5
ctls40,41200,4.615,2019-09-11,1
ctls40,30800,4.489,2019-09-11,1
ctls40,1862,3.270,2019-09-11,1
ctls40,25880,4.413,2019-09-11,1
ctls40,2900,3.462,2019-09-11,1
ctls40,1854,3.268,2019-09-11,1
ctls40,79400,4.900,2019-09-11,1
ctls40,2300,3.362,2019-09-11,1
ctls40,65800,4.818,2019-09-11,1
ctls40,44000,4.643,2019-09-11,1
ctls40,13500,4.130,2019-09-11,1
ctls40,98440,4.993,2019-09-11,1
ctls40,2640,3.422,2019-10-05,2
ctls40,41800,4.621,2019-10-05,2
ctls40,30400,4.483,2019-10-05,2
ctls40,48240,4.683,2019-10-05,2
ctls40,16400,4.215,2019-10-05,2
ctls40,38640,4.587,2019-10-05,2
ctls40,35200,4.547,2019-10-05,2
ctls40,54420,4.736,2019-10-05,2
ctls40,44040,4.644,2019-10-05,2
ctls40,29660,4.472,2019-10-05,2
ctls40,33000,4.519,2019-10-05,2
ctls40,37620,4.575,2019-10-05,2
ctls40,19640,4.293,2019-10-05,2
ctls40,12400,4.093,2019-10-05,2
ctls40,7620,3.882,2019-10-05,2
ctls40,33600,4.526,2019-10-05,2
ctls40,32000,4.505,2019-10-05,2
ctls40,29900,4.476,2019-10-05,2
ctls40,79040,4.898,2019-10-05,2
ctls40,16640,4.221,2019-10-05,2
ctls40,23800,4.377,2019-10-05,2
ctls40,12000,4.079,2019-10-05,2
ctls40,31220,4.494,2019-10-05,2
ctls40,28200,4.450,2019-10-05,2
ctls40,2280,3.358,2019-10-05,2
ctls40,28200,4.450,2019-10-05,2
ctls40,780,2.892,2019-10-05,2
ctls40,75300,4.877,2019-10-05,2
ctls40,19900,4.299,2019-10-05,2
ctls40,19520,4.290,2019-10-05,2
ctls40,36800,4.566,2019-10-05,2
ctls40,2020,3.305,2019-10-05,2
ctls40,50480,4.703,2019-10-05,2
ctls40,29100,4.464,2019-10-05,2
ctls40,38800,4.589,2019-10-05,2
ctls40,17400,4.241,2019-10-05,2
daf16,79000,4.898,2019-07-12,1
daf16,1160,3.064,2019-07-12,1
daf16,66600,4.823,2019-07-12,1
daf16,78000,4.892,2019-07-12,1
daf16,17400,4.241,2019-07-12,1
daf16,31800,4.502,2019-07-12,1
daf16,7440,3.872,2019-07-12,1
daf16,16600,4.220,2019-07-12,1
daf16,8040,3.905,2019-07-12,1
daf16,54800,4.739,2019-07-12,1
daf16,21800,4.338,2019-07-12,1
daf16,21620,4.335,2019-07-12,1
daf16,19800,4.297,2019-07-12,1
daf16,3280,3.516,2019-07-12,1
daf16,10400,4.017,2019-07-12,1
daf16,126800,5.103,2019-07-12,1
daf16,20600,4.314,2019-07-12,1
daf16,16220,4.210,2019-07-12,1
daf16,67840,4.831,2019-07-12,1
daf16,21200,4.326,2019-07-12,1
daf16,19200,4.283,2019-07-12,1
daf16,30600,4.486,2019-07-12,1
daf16,29200,4.465,2019-07-12,1
daf16,24400,4.387,2019-07-12,1
daf16,2060,3.314,2019-07-12,1
daf16,92600,4.967,2019-07-12,1
daf16,23080,4.363,2019-07-12,1
daf16,9000,3.954,2019-07-12,1
daf16,14000,4.146,2019-07-12,1
daf16,17200,4.236,2019-07-12,1
daf16,15660,4.195,2019-07-12,1
daf16,23200,4.365,2019-07-12,1
daf16,22600,4.354,2019-07-12,1
daf16,21200,4.326,2019-07-12,1
daf16,8680,3.939,2019-07-12,1
daf16,21200,4.326,2019-07-12,1
daf16,13420,4.128,2019-07-29,2
daf16,54400,4.736,2019-07-29,2
daf16,37040,4.569,2019-07-29,2
daf16,81400,4.911,2019-07-29,2
daf16,20000,4.301,2019-07-29,2
daf16,48000,4.681,2019-07-29,2
daf16,48400,4.685,2019-07-29,2
daf16,18600,4.270,2019-07-29,2
daf16,16340,4.213,2019-07-29,2
daf16,59200,4.772,2019-07-29,2
daf16,33800,4.529,2019-07-29,2
daf16,24000,4.380,2019-07-29,2
daf16,16800,4.225,2019-07-29,2
