Condition,CFU,logCFU,Date
PM.I2.5,28000,4.447158031,20220109
PM.I2.5,64000,4.806179974,20220109
PM.I2.5,36000,4.556302501,20220109
PM.I2.5,90000,4.954242509,20220109
PM.I2.5,6600,3.819543936,20220109
PM.I2.5,50000,4.698970004,20220109
PM.I2.5,7200,3.857332496,20220109
PM.I2.5,4600,3.662757832,20220109
PM.I2.5,12000,4.079181246,20220109
PM.I2.5,7000,3.84509804,20220109
PM.I2.5,5200,3.716003344,20211213
PM.I2.5,4200,3.62324929,20211213
PM.I2.5,3600,3.556302501,20211213
PM.I2.5,3000,3.477121255,20211213
PM.I2.5,5000,3.698970004,20211213
PM.I2.5,14000,4.146128036,20211213
PM.I2.5,2000,3.301029996,20211213
PM.I2.5,4200,3.62324929,20211213
PM.I2.5,30000,4.477121255,20211213
PM.I2.5,3400,3.531478917,20211213
PM.I2.5,4200,3.62324929,20211213
PM.I2.5,12000,4.079181246,20211213
PM.I2.5,20000,4.301029996,20211213
PM.I2.5,100000,5,20211213
PM.I2.5,4000,3.602059991,20211213
PM.I2.5,44000,4.643452676,20211213
PM.I2.5,38000,4.579783597,20211213
PM.I2.5,50000,4.698970004,20211213
PM.I2.5,3800,3.579783597,20211213
PM.I2.5,4600,3.662757832,20211213
PM.I2.5,4400,3.643452676,20211213
PM.I2.5,54000,4.73239376,20211213
PM.I2.5,50000,4.698970004,20211213
PM.I2.5,56000,4.748188027,20211213
PM.I2.9,4000,3.602059991,20220109
PM.I2.9,3800,3.579783597,20220109
PM.I2.9,2400,3.380211242,20220109
PM.I2.9,2600,3.414973348,20220109
PM.I2.9,44000,4.643452676,20220109
PM.I2.9,5000,3.698970004,20220109
PM.I2.9,22000,4.342422681,20220109
PM.I2.9,5200,3.716003344,20220109
PM.I2.9,4000,3.602059991,20220109
PM.I2.9,2400,3.380211242,20220109
PM.I2.9,3600,3.556302501,20220109
PM.I2.9,50000,4.698970004,20220109
PM.I2.9,9000,3.954242509,20211213
PM.I2.9,2600,3.414973348,20211213
PM.I2.9,4200,3.62324929,20211213
PM.I2.9,3400,3.531478917,20211213
PM.I2.9,3200,3.505149978,20211213
PM.I2.9,16000,4.204119983,20211213
PM.I2.9,28000,4.447158031,20211213
PM.I2.9,2000,3.301029996,20211213
PM.I2.9,1400,3.146128036,20211213
PM.I2.9,2800,3.447158031,20211213
PM.I2.9,2800,3.447158031,20211213
PM.I2.9,1800,3.255272505,20211213
PM.I2.9,58000,4.763427994,20211213
PM.I2.9,16000,4.204119983,20211213
PM.I2.9,16000,4.204119983,20211213
PM.I2.9,12000,4.079181246,20211213
PM.I2.9,2600,3.414973348,20211213
PM.I2.9,1800,3.255272505,20211213
PM.I2.9,2200,3.342422681,20211213
PM.I2.9,2600,3.414973348,20211213
PM.I2.9,2800,3.447158031,20211213
PM.I2.9,3200,3.505149978,20211213
PM.I2.9,2800,3.447158031,20211213
PM.I2.9,1600,3.204119983,20211213
MO.0,46000,4.662757832,20210119
MO.0,44000,4.643452676,20210119
MO.0,5400,3.73239376,20210119
MO.0,4400,3.643452676,20210119
MO.0,3600,3.556302501,20210119
MO.0,2800,3.447158031,20210119
MO.0,2800,3.447158031,20210119
MO.0,2600,3.414973348,20210119
MO.0,2600,3.414973348,20210119
MO.0,2000,3.301029996,20210119
MO.0,2000,3.301029996,20210119
MO.0,2000,3.301029996,20210119
MO.0,2000,3.301029996,20210119
MO.0,1800,3.255272505,20210119
MO.0,1600,3.204119983,20210119
MO.0,1600,3.204119983,20210119
MO.0,1400,3.146128036,20210119
MO.0,1400,3.146128036,20210119
MO.0,1200,3.079181246,20210119
MO.0,1200,3.079181246,20210119
MO.0,1000,3,20210119
MO.0,1000,3,20210119
MO.0,600,2.77815125,20210119
MO.0,400,2.602059991,20210119
MO.0,260000,5.414973348,20200902
MO.0,200000,5.301029996,20200902
MO.0,180000,5.255272505,20200902
MO.0,84000,4.924279286,20200902
MO.0,32000,4.505149978,20200902
MO.0,32000,4.505149978,20200902
MO.0,24000,4.380211242,20200902
MO.0,5200,3.716003344,20200902
MO.0,1600,3.204119983,20200902
MO.0,1000,3,20200902
MO.0,600,2.77815125,20200902
MO.0,120000,5.079181246,20111101
MO.0,100000,5,20111101
MO.0,100000,5,20111101
MO.0,100000,5,20111101
MO.0,100000,5,20111101
