"Condition"	"Rep"	"maxCFU"	"minCFU"	"q90"	"q75"	"q50"	"q25"	"q10"	"meanCFU"	"varCFU"	"skewCFU"	"kurtCFU"	"Q1"	"Q2"	"cvCFU"
"11"	"dec1"	"4"	213200	2460	54200	37720	14800	5000	3240	34087.619047619	2432430339.04762	2.46509931012307	5.80746030214526	7.49220142602496	2.49129443699668	1.4468500982747
"12"	"dec1"	"5"	110800	1520	64080	47770	28800	13400	4672	32819.6595744681	616645890.6642	0.94449733597262	0.629946699079992	2.24590586718246	2.20357729815563	0.756630508761216
"13"	"exp1"	"3"	125800	1380	35400	21565	13620	3350	2120	17844.4444444444	507774196.825397	3.16572733789655	12.0604463494696	5.827947336924	2.84797119269278	1.26279333910561
"14"	"exp1"	"4"	33400	562	23952	17810	9800	1710	1204	10361.6571428571	83784198.4672269	0.602359220335658	-0.774874409108416	2.611500134662	1.73566890161909	0.883388704511565
"15"	"MO.I2.9"	"1"	540000	1800	308000	180000	16000	3550	2460	101458.333333333	22991438188.4058	1.39687052587538	0.818044546578087	13.183908045977	2.14888985633435	1.49449802510089
"16"	"MO.I2.9"	"2"	740000	200	220000	80000	29000	2950	1780	92375	28356348913.0435	2.59105723727539	6.64296905845232	16.0868639969046	2.70273495773247	1.8229329893045
"17"	"N2"	"2"	63000	2340	55900	47950	32240	21545	15530	34069.1666666667	278339094.927536	-0.0761021194444781	-1.05946495421141	0.890680056377731	2.01181989886066	0.489694915226371
"18"	"N2"	"3"	41800	1680	17840	15100	9800	6405	3370	11670	85216341.1764706	1.77376375985492	3.55547653924793	2.64912280701754	2.37090645920029	0.79102568542191
"19"	"N2"	"10"	27000	1760	18000	13000	4840	2400	2060	8277.14285714286	52767531.4285714	0.88746914286349	-0.237395053473176	3.89123159303882	1.70715131435732	0.877612777934814
"20"	"N2"	"11"	64000	2620	37000	23700	16800	11090	9144	19847.8260869565	182704099.604743	1.6136089662664	2.62422022991932	2.97607952780367	2.31835397180872	0.681022091856223
"21"	"vhp1"	"2"	409000	21880	311800	216150	84040	37750	26070	134646.111111111	13554515858.7302	0.822771020492839	-0.639465822776856	3.63338177763153	1.89683795168945	0.86466561838116
"22"	"vhp1"	"3"	137200	8920	121410	103630	86710	56605	27210	78604.4444444444	1213724962.53968	-0.324058636077289	-0.860742617789776	0.759329708749827	2.15758832442779	0.443213560452759
"23"	"SA"	"1"	58000	200	16000	10000	2600	1200	600	7322.58064516129	134385806.451613	2.91766356302014	9.35405140773541	10.4698795180723	2.88019362646228	1.58311526872938
"24"	"SA"	"2"	86000	200	47600	25000	4600	1250	400	15876.4705882353	495280035.650624	1.52098462855594	1.4022023795923	10.7252964426877	2.44659793814433	1.40175285061077
"25"	"SA"	"3"	26000	400	12000	6100	3000	1300	840	5232.55813953488	34599867.1096345	1.84005889446523	2.99631953140185	6.66587112171838	2.55950822471399	1.12414712174286
"26"	"SA"	"4"	66000	1000	41200	18500	6000	2900	1000	14678.5714285714	294747671.957672	1.39364849556544	1.01535149794786	6.40917782026769	2.19591175875329	1.16961088455587
"27"	"SA"	"5"	60000	1000	36000	26500	6100	2050	1300	14684.6153846154	264771753.846154	1.10742896707345	0.248505724514561	5.42465753424658	1.89230291744258	1.10808544417563
"28"	"SA"	"6"	102000	1400	77200	42000	16200	5200	2960	30235.2941176471	1005456176.47059	0.935839896555317	-0.458974494008535	4.37931034482759	2.03208298154625	1.04873889591897
"29"	"SE"	"1"	140000	1200	104000	66000	38000	3900	1600	43192.3076923077	1698343938.46154	0.742531153911359	-0.487248452979572	2.89244486903909	1.87545070962792	0.954127502527655
"30"	"SE"	"2"	520000	200	46800	24000	6000	800	400	33880	10546356666.6667	4.22455192628309	17.0888748744619	29.3357664233577	3.27806653857822	3.03115277214414
"31"	"SE"	"3"	302000	2600	127600	80000	46000	9500	3720	60768.4210526316	5310912280.70175	1.85802750673258	3.56648479413526	5.1250697934115	2.22500169021702	1.19924139783084
